"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Product Search","1","0","Verify product titles contain search term","0"
"0","","0","Product Search","1","0","Search for product","0"
"0","","0","Login feature","1","0","Click on Login button","0"
"0","","0","Home Page","1","0","Verify search box is present and enabled","0"
"1","","0","Cart feature","0","0","Increase product quantity in cart","0"
"0","","0","Product selection & details","1","0","Verify product title, price , description on product page","0"
"0","","0","Product Search","1","0","Verify search results are displayed","0"
"0","","0","Home Page","1","0","Verify Amazon logo is displayed","0"
"0","","0","Cart feature","1","0","Verify product is added to cart","0"
"0","","0","Home Page","1","0","Verify sign-in option is available","0"
"1","","0","Cart feature","0","0","Add product to cart","0"
"0","","0","Product Search","1","0","Sort results by price","0"
"0","","0","","2","0","","0"
"0","","0","Product selection & details","1","0","select a product from search results","0"
"0","","0","Home Page","1","0","Verify cart icon is visible","0"
"1","","0","Product Search","0","0","Apply filters","0"
"1","","0","Cart feature","0","0","Remove product quantity","0"
"0","","0","Login feature","1","0","Verify login with valid creds","0"
"1","","0","Product selection & details","0","0","Verify product images carousel","0"
"1","","0","Product selection & details","0","0","verify delivery options","0"
"0","","0","Home Page","1","0","Verify Home page title","0"
"1","","0","Cart feature","0","0","Verify cart empty message","0"
"0","","0","Product selection & details","1","0","Verify Availability of add to cart button","0"
